extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,1736.33,2043.65,1,24.733,0.026,41.8,-0.008,-0.022,0.019,0,23.454,0.025,43.3,-0.015,0.131,0.016,0
1,996.4,122.54,1,24.905,0.018,59.0,-0.026,0.164,0.0,0,23.504,0.017,64.6,-0.009,0.002,0.0,0
1,1909.14,670.11,1,24.798,0.018,59.7,0.021,0.06,0.01,0,23.523,0.017,62.7,0.016,0.067,0.007,0
1,3442.05,218.6,1,24.807,0.018,60.2,-0.016,0.052,0.0,0,23.546,0.018,59.8,0.001,0.03,0.0,0
1,2954.62,390.05,1,26.26,0.037,29.5,-0.043,0.158,0.001,0,23.208,0.014,76.2,-0.033,0.002,0.0,0
1,261.09,1389.39,1,26.558,0.048,22.9,-0.02,0.098,0.001,0,23.16,0.015,74.6,0.003,-0.01,0.001,0
1,2840.42,1458.47,1,24.753,0.018,59.8,0.021,0.058,0.0,0,23.504,0.018,61.9,0.022,0.057,0.0,0
1,2354.46,987.99,1,24.813,0.018,59.2,0.011,0.063,0.0,0,23.515,0.017,62.0,0.042,-0.015,0.001,0
1,116.11,1285.62,1,24.767,0.018,59.6,-0.005,0.063,0.001,0,23.524,0.018,61.2,0.013,-0.027,0.0,0
1,1981.73,1511.22,1,24.817,0.019,57.0,0.026,0.046,0.0,0,23.487,0.018,62.0,0.009,0.011,0.0,0
1,1874.9,1307.21,1,24.734,0.019,57.7,0.029,0.103,0.002,0,23.542,0.019,58.0,0.04,0.08,0.004,0
1,3227.37,1130.76,1,24.78,0.018,58.8,0.026,0.051,0.0,0,23.536,0.018,61.4,0.013,0.028,0.001,0
1,1565.05,1151.04,1,24.754,0.018,59.2,0.025,0.05,0.0,0,23.559,0.018,59.8,0.036,0.038,0.001,0
1,1661.52,696.35,1,24.842,0.019,58.6,0.009,0.109,0.0,0,23.57,0.018,61.1,0.024,0.094,0.0,0
1,1033.77,1186.39,1,24.71,0.018,59.4,0.007,0.046,0.002,0,23.609,0.019,56.0,0.006,0.038,0.003,0
1,1011.67,1759.23,1,24.82,0.019,57.6,-0.013,0.042,0.0,0,23.509,0.018,61.0,0.008,0.06,0.0,0
1,1823.57,1878.65,1,24.883,0.02,54.9,0.012,0.102,0.0,0,23.476,0.018,61.1,0.007,0.146,0.001,0
1,1780.76,1746.44,1,24.831,0.019,56.4,0.019,0.081,0.001,0,23.522,0.018,59.6,0.032,0.042,0.001,0
1,1601.13,1191.1,1,24.852,0.019,56.8,0.02,0.019,0.001,0,23.564,0.018,60.0,0.006,0.013,0.0,0
1,1691.7,1660.18,1,24.781,0.019,57.9,0.025,0.05,0.0,0,23.576,0.019,58.5,0.005,0.021,0.0,0
1,1653.77,1992.2,1,24.817,0.027,40.4,-0.03,0.043,0.003,0,23.545,0.026,41.3,-0.002,0.091,0.003,0
1,54.17,569.21,1,24.848,0.019,57.7,-0.014,0.08,0.0,0,23.628,0.018,59.3,-0.036,0.092,0.001,0
1,211.29,1674.54,1,24.956,0.021,51.2,0.034,0.057,0.161,0,23.537,0.019,57.7,0.049,-0.005,0.101,0
1,1105.15,1258.87,1,24.816,0.019,56.2,0.034,-0.003,0.001,0,23.6,0.019,57.7,0.019,0.056,0.0,0
1,648.16,511.86,1,24.9,0.019,56.0,0.023,0.561,0.093,0,23.607,0.018,59.3,0.018,0.358,0.076,0
1,3298.11,1169.78,1,24.862,0.019,56.5,0.034,-0.0,0.0,0,23.595,0.018,59.2,0.014,0.08,0.0,0
1,2441.3,1904.99,1,24.909,0.02,54.6,0.007,0.001,0.001,0,23.524,0.018,59.8,0.029,0.105,0.0,0
1,2827.68,921.42,1,24.837,0.019,57.0,0.022,0.012,0.0,0,23.639,0.019,57.4,0.045,0.022,0.0,0
1,1543.27,2001.87,1,24.577,0.025,42.8,0.006,0.203,0.081,0,23.749,0.03,35.7,0.016,0.576,0.135,0
1,1597.31,1952.28,1,24.837,0.02,54.5,-0.017,0.021,0.006,0,23.576,0.019,56.0,-0.005,0.075,0.004,0
1,742.43,1798.67,1,24.837,0.02,55.3,0.028,0.114,0.001,0,23.577,0.019,57.5,0.062,0.057,0.0,0
1,1376.14,1957.06,1,24.885,0.02,54.7,-0.001,0.1,0.003,0,23.55,0.018,59.0,0.005,-0.024,0.002,0
1,1848.28,1765.23,1,24.831,0.02,55.4,0.009,0.116,0.0,0,23.596,0.019,57.4,0.011,-0.052,0.0,0
1,1105.69,1660.65,1,24.806,0.019,57.2,-0.021,0.046,0.0,0,23.623,0.019,57.0,-0.007,0.048,0.0,0
1,1694.57,631.86,1,24.882,0.019,56.9,-0.016,0.094,0.0,0,23.673,0.019,57.4,0.014,0.076,0.0,0
1,761.43,985.23,1,24.818,0.019,56.8,0.03,0.027,0.013,0,23.703,0.02,53.8,0.058,0.056,0.095,0
1,1024.83,1768.92,1,24.845,0.019,56.1,-0.025,0.098,0.008,0,23.606,0.019,57.5,-0.03,0.101,0.005,0
1,2366.91,891.17,1,24.646,0.018,60.3,0.023,-0.012,0.001,0,23.831,0.021,51.2,0.029,0.047,0.001,0
