extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,err_v,err_i
1,1,359.52,866.9300000000001,25.573,24.051,12.5,10.3,-0.067,-0.095,0.087,0.105
1,1,514.76,705.44,25.182,24.248,14.8,10.0,-0.031,-0.129,0.073,0.109
1,1,358.91,743.28,25.452,24.114,12.9,10.6,-0.01,0.034,0.084,0.103
1,1,349.69,842.4,24.998,24.319,14.4,9.3,-0.016,0.038,0.075,0.117
1,1,427.15,736.7,24.881,24.689,15.5,5.6,0.018,0.282,0.07,0.194
1,1,560.42,949.29,24.672,24.575,17.6,8.0,-0.014,-0.175,0.062,0.135
1,1,401.27,701.8,99.999,99.999,0.0,9.6,0.0,-0.089,0.0,0.113
1,1,457.24,812.87,25.77,23.983,11.3,11.8,0.115,0.037,0.096,0.092
1,1,323.61,1289.3,24.781,24.728,16.2,5.9,-0.049,0.098,0.067,0.184
1,1,372.21,708.79,24.838,24.251,11.0,9.7,-0.029,-0.009,0.099,0.112
1,1,417.36,746.91,25.313,24.291,13.2,8.0,-0.062,0.123,0.082,0.136
1,1,548.6,757.3,25.333,24.294,13.5,8.5,0.026,0.045,0.08,0.128
1,1,118.02999999999997,835.84,99.999,99.999,0.0,16.5,0.0,-0.012,0.0,0.066
1,1,375.25,831.92,25.509,24.144,12.6,10.4,-0.05,0.006,0.086,0.104
1,1,572.4300000000001,715.67,25.326,24.3,13.6,9.5,-0.062,-0.154,0.08,0.115
1,1,364.11,897.12,25.164,24.446,14.2,8.2,-0.155,-0.037,0.076,0.133
1,1,179.84000000000003,819.36,25.555,24.293,11.8,6.2,0.011,-0.113,0.092,0.174
1,1,335.09,1278.73,24.601,24.843,17.2,6.2,0.048,0.022,0.063,0.175
1,1,268.0,768.04,25.81,24.073,10.7,9.9,0.05,0.005,0.101,0.11
1,1,483.88,1153.97,25.497,24.231,11.2,9.6,0.08,-0.063,0.097,0.113
1,1,416.08,863.11,25.326,24.334,13.1,9.2,0.071,-0.121,0.083,0.118
1,1,475.37,759.76,25.429,24.313,12.6,9.2,0.023,0.07,0.086,0.119
1,1,178.29999999999995,811.59,25.496,24.27,10.4,8.5,-0.22,-0.203,0.105,0.128
1,1,385.66,1134.47,25.449,24.29,12.5,9.5,-0.001,0.024,0.087,0.114
1,1,466.5,747.79,25.047,24.838,14.0,4.7,0.04,0.161,0.078,0.23
1,1,347.35,1221.8899999999999,99.999,99.999,7.3,0.0,0.286,0.0,0.15,0.0
1,1,227.13,997.05,99.999,99.999,7.8,0.0,-0.112,0.0,0.139,0.0
1,1,207.42999999999995,877.51,25.474,24.377,12.5,9.0,-0.047,-0.152,0.087,0.121
1,1,394.01,759.48,25.469,24.313,9.3,8.5,0.066,0.027,0.117,0.128
1,1,578.24,803.19,25.632,24.313,11.4,9.5,-0.057,0.061,0.095,0.115
1,1,88.09000000000003,959.03,25.62,24.42,11.1,6.3,-0.024,0.012,0.098,0.172
1,1,441.83,1000.8199999999999,25.343,24.514,12.8,8.0,-0.072,-0.017,0.085,0.137
1,1,392.31,742.87,25.754,24.269,10.6,9.5,0.12,0.113,0.103,0.114
1,1,116.00999999999999,997.5699999999999,25.754,24.293,10.9,9.2,-0.072,-0.102,0.1,0.118
1,1,291.79,775.71,99.999,99.999,15.5,0.0,0.001,0.0,0.07,0.0
1,1,333.14,866.81,99.999,99.999,9.8,0.0,0.164,0.0,0.111,0.0
1,1,392.24,704.67,25.858,24.27,10.0,9.4,0.03,0.004,0.108,0.115
1,1,495.22,765.37,25.521,24.351,8.8,9.1,-0.13,0.014,0.124,0.119
1,1,52.200000000000045,868.41,99.999,99.999,0.0,10.0,0.0,0.297,0.0,0.108
1,1,492.46,1359.5700000000002,25.81,24.294,9.2,9.1,-0.01,0.045,0.118,0.12
1,1,1.92999999999995,941.9100000000001,99.999,99.999,14.5,0.0,0.134,0.0,0.075,0.0
1,1,384.57,707.46,25.63,24.38,9.7,8.9,-0.116,-0.036,0.111,0.122
1,1,361.56,710.27,25.529,24.479,11.7,8.4,0.012,-0.065,0.093,0.129
1,1,296.86,772.08,25.402,24.797,11.4,4.5,-0.073,-0.072,0.095,0.242
1,1,666.62,967.9000000000001,25.71,24.379,10.6,8.9,-0.019,0.037,0.103,0.122
1,1,348.5,839.51,24.954,24.912,14.6,5.9,-0.013,0.11,0.075,0.183
1,1,608.3199999999999,710.97,25.108,24.743,13.7,7.0,-0.084,0.082,0.079,0.155
1,1,361.54,859.75,25.252,24.589,11.3,7.6,0.017,0.031,0.096,0.144
1,1,642.27,772.52,25.917,24.301,10.1,9.7,-0.063,-0.01,0.108,0.112
1,1,436.14,704.45,25.89,24.304,7.9,9.3,0.171,-0.136,0.138,0.116
1,1,339.85,781.1800000000001,24.722,24.914,13.3,6.0,0.101,0.085,0.081,0.181
1,1,357.66,809.4,24.684,25.063,15.2,5.6,0.047,-0.233,0.071,0.195
1,1,442.83,903.36,99.999,99.999,9.1,0.0,0.366,0.0,0.12,0.0
1,1,522.2,784.55,25.677,24.563,10.8,6.8,-0.072,-0.17,0.101,0.159
1,1,461.99,759.92,25.843,24.409,9.9,8.6,0.019,0.031,0.11,0.126
1,1,379.91,739.91,25.247,24.786,12.4,6.6,0.025,-0.157,0.088,0.164
1,1,100.41999999999996,996.1800000000001,99.999,99.999,0.0,9.9,0.0,0.048,0.0,0.11
1,1,343.06,707.56,25.74,24.569,10.3,6.7,-0.108,-0.242,0.106,0.162
1,1,561.22,1310.1399999999999,25.789,24.461,9.5,8.0,0.004,0.039,0.114,0.136
