extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,898.145,929.235,24.092,23.002,32.4,33.5,0.054,0.037,0.032,0.032,0.033,0.032
0,1,782.265,882.5550000000001,24.3,22.88,26.9,34.9,0.032,0.032,0.048,0.012,0.04,0.031
0,1,925.1949999999999,878.165,24.095,23.001,33.1,33.2,0.009,0.011,0.064,0.055,0.033,0.033
0,1,751.41,855.605,24.059,23.061,32.0,31.9,-0.05,-0.01,0.186,0.002,0.034,0.034
0,1,980.935,902.745,24.182,22.95,31.9,35.6,0.029,0.037,0.06,0.017,0.034,0.031
0,1,837.69,1043.7649999999999,24.199,22.966,27.2,32.0,-0.019,-0.029,0.049,-0.038,0.04,0.034
0,1,895.65,1066.6100000000001,24.182,22.981,30.1,33.1,-0.002,-0.052,0.027,0.026,0.036,0.033
0,1,938.895,978.8299999999999,24.051,23.033,19.7,19.3,-0.014,0.032,0.112,0.033,0.055,0.056
0,1,956.9100000000001,785.67,24.176,22.995,32.8,35.6,0.021,0.001,0.155,0.059,0.033,0.03
0,1,877.84,877.38,24.253,22.954,30.7,36.3,0.021,-0.0,-0.01,0.108,0.035,0.03
0,1,776.1949999999999,962.075,24.237,22.972,30.1,34.2,-0.017,-0.05,0.065,0.058,0.036,0.032
0,1,820.64,791.665,24.394,22.87,28.8,36.4,-0.06,-0.022,0.112,-0.004,0.038,0.03
0,1,819.28,1068.06,24.139,23.079,24.6,27.9,0.013,0.052,0.303,0.186,0.044,0.039
0,1,789.225,750.435,24.3,22.962,28.2,35.0,0.018,-0.004,0.045,0.039,0.039,0.031
0,1,1009.0,724.07,24.314,22.976,27.1,35.7,0.001,-0.007,0.125,0.056,0.04,0.03
0,1,911.61,799.3,24.233,23.009,30.7,35.4,0.014,-0.039,0.203,0.081,0.035,0.031
0,1,929.255,934.0699999999999,24.201,23.109,24.5,30.9,0.039,-0.045,0.071,0.015,0.044,0.035
