extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
1,3346.84,901.54,24.582,23.599,1,60.1,53.3,0,0,0.013,0.0409999999999999,0.011,0.0,0.018,0.02
1,3734.12,592.86,24.625,23.595,1,40.9,53.6,0,0,0.0139999999999999,0.043,0.01,0.022,0.027,0.02
1,3996.55,110.53,24.75,23.529,1,56.3,56.6,0,0,0.038,0.009,-0.025,0.023,0.019,0.019
1,3651.43,1978.98,24.729,23.535,1,56.6,55.9,0,0,0.011,0.01,-0.015,0.036,0.019,0.019
1,2304.93,1998.14,24.627,23.604,1,58.9,53.8,0,0,0.0,0.0,0.012,0.023,0.018,0.02
1,790.79,1543.91,24.651,23.598000000000003,1,58.1,53.8,0,0,0.0,0.0,0.016,0.022,0.019,0.02
1,1413.73,1028.32,24.692,23.606,1,57.7,54.2,0,0,0.004,0.008,0.023,0.035,0.019,0.02
1,2880.84,425.27,24.738000000000003,23.582,1,57.0,55.3,0,0,0.001,0.003,0.009,-0.003,0.019,0.02
1,31.54,1856.73,25.276,23.347,1,40.6,56.9,0,0,0.145,0.23,0.127,-0.143,0.027,0.019
1,3031.15,1217.29,24.734,23.667,1,55.5,51.6,0,0,0.0139999999999999,0.027,-0.011,0.01,0.02,0.021
1,3985.09,318.04,24.647,23.73,1,56.6,49.6,0,0,0.001,0.001,0.031,0.053,0.019,0.022
1,2515.54,1196.12,24.739,23.676,1,55.2,51.5,0,0,0.0,0.004,0.01,0.026,0.02,0.021
1,500.81,1156.49,25.689,23.341,1,35.7,62.9,0,0,0.001,0.002,-0.002,0.017,0.03,0.017
1,3496.03,1492.06,25.783,23.399,1,31.3,55.5,0,0,0.311,0.374,-0.115,-0.075,0.035,0.02
1,2997.44,955.29,24.763,23.732,1,54.7,49.8,0,0,0.022,0.0289999999999999,0.005,0.026,0.02,0.022
1,1695.8,565.34,24.789,23.766,1,52.7,47.6,0,0,0.084,0.104,-0.011,0.001,0.021,0.023
1,3429.7,1185.97,25.075,23.633000000000003,1,44.0,50.3,0,0,0.153,0.177,-0.049,-0.068,0.025,0.022
1,3738.22,701.04,24.844,23.769,1,51.4,48.4,0,0,0.019,0.015,0.035,0.031,0.021,0.022
1,3599.76,1111.02,24.761,23.851,1,52.5,45.6,0,0,0.0,0.001,0.04,0.02,0.021,0.024
1,755.91,348.65,24.826,23.856,1,52.4,46.4,0,0,0.004,0.012,0.009,0.016,0.021,0.023
1,117.88,1822.44,24.935,23.786,1,47.6,46.2,0,0,0.008,0.008,-0.004,0.065,0.023,0.023
1,735.87,2005.45,24.891,23.82,1,49.5,45.6,0,0,0.0,0.001,-0.015,0.04,0.022,0.024
1,110.88,1068.31,24.944000000000003,23.792,1,49.7,47.4,0,0,0.003,0.004,-0.032,0.026,0.022,0.023
1,1365.62,878.3,24.949,23.82,1,49.9,47.0,0,0,0.001,0.04,-0.008,0.04,0.022,0.023
1,3704.01,1479.44,24.914,23.846,1,49.5,45.9,0,0,0.0,0.001,0.021,0.023,0.022,0.024
1,3429.77,1073.32,24.971,23.829,1,48.7,46.9,0,0,0.001,0.001,0.027,0.011,0.022,0.023
1,4049.57,567.16,24.865,24.012,1,49.4,41.6,0,0,0.005,0.018,0.019,0.0069999999999999,0.022,0.026
1,1247.19,493.08,25.018,23.921,1,47.4,44.6,0,0,0.0,0.001,-0.0289999999999999,0.002,0.023,0.024
1,2491.85,1080.57,24.99,23.942,1,47.5,43.7,0,0,0.005,0.006,-0.042,0.009,0.023,0.025
1,3728.43,1670.73,25.029,23.919,1,46.4,44.2,0,0,0.0,0.005,0.003,0.021,0.023,0.025
1,1245.84,689.13,25.763,23.642,1,33.3,53.3,0,0,0.008,0.012,0.039,0.003,0.033,0.02
1,3076.4,1650.09,25.079,23.924,1,45.3,44.1,0,0,0.008,0.008,0.013,0.015,0.024,0.025
1,203.88,1410.38,26.633000000000003,23.591,1,18.9,52.5,0,0,0.001,0.0,0.016,0.026,0.057,0.021
1,2570.51,870.01,25.082,23.937,1,45.7,44.4,0,0,0.006,0.002,-0.02,-0.034,0.024,0.024
1,2378.09,1781.03,25.132,23.922,1,40.8,42.4,0,0,0.003,0.0,-0.017,0.023,0.027,0.026
1,4070.89,873.02,24.984,24.007,1,46.2,41.2,0,0,0.015,0.003,0.009,0.0139999999999999,0.024,0.026
1,292.86,1089.56,25.066,23.964,1,45.5,42.7,0,0,0.001,0.0,0.003,0.032,0.024,0.025
1,859.53,1204.19,25.05,23.968000000000004,1,45.9,42.8,0,0,0.0,0.0,0.001,0.027,0.024,0.025
1,3151.95,1594.74,25.086,23.957,1,45.0,43.0,0,0,0.003,0.001,0.016,-0.022,0.024,0.025
1,4032.87,417.77,25.051,23.981,1,43.4,42.4,0,0,0.001,0.001,-0.006,-0.019,0.025,0.026
1,604.24,154.22,25.068,23.985,1,45.2,42.3,0,0,0.035,0.022,-0.005,0.019,0.024,0.026
1,2991.63,20.36,25.04,24.009,1,45.7,40.8,0,0,0.0,0.0,-0.011,0.049,0.024,0.027
1,3220.17,1150.31,26.434,23.627,1,22.2,52.6,0,0,0.023,0.037,-0.004,-0.006,0.049,0.021
1,2652.77,769.62,25.092,24.009,1,45.2,42.1,0,0,0.002,0.004,-0.011,0.001,0.024,0.026
1,3901.84,729.23,26.671,23.662,1,18.7,51.7,0,0,0.013,0.006,-0.045,-0.002,0.0579999999999999,0.021
1,544.28,466.88,26.254,23.695,1,24.8,50.6,0,0,0.035,0.1,-0.06,-0.084,0.044,0.021
1,1852.28,1790.45,25.11,24.054,1,43.2,39.8,0,0,0.026,0.025,0.0069999999999999,0.0289999999999999,0.025,0.027
1,2284.99,1125.98,25.006,24.137,1,45.2,38.4,0,0,0.021,0.025,0.02,0.008,0.024,0.0279999999999999
1,3895.66,1765.48,25.117,24.074,1,42.2,38.0,0,0,0.057,0.074,0.018,0.052,0.026,0.0289999999999999
1,3601.62,219.76,25.131,24.066,1,43.5,40.4,0,0,0.0,0.001,0.017,-0.003,0.025,0.027
1,3774.46,1197.7,25.115,24.122,1,42.6,38.1,0,0,0.018,0.008,-0.019,0.005,0.025,0.0289999999999999
1,2432.22,64.6,25.008000000000003,24.226,1,44.5,34.1,0,0,0.0279999999999999,0.035,-0.004,0.06,0.024,0.032
1,1396.54,959.9,25.169,24.099,1,42.7,39.6,0,0,0.001,0.002,-0.009,0.008,0.025,0.027
