extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,1049.95,746.96,25.046,24.251,42.5,22.5,-0.03,-0.061,0.083,0.097,0.026,0.048
0,1,804.76,833.065,25.103,24.164,41.4,31.5,-0.021,-0.05,0.056,0.063,0.026,0.034
0,1,818.5,725.04,25.101,24.124,42.7,17.7,-0.007,0.02,0.071,0.024,0.025,0.061
0,1,921.34,1009.9850000000001,99.999,99.999,42.2,0.0,-0.017,0.0,0.185,0.0,0.026,0.0
0,1,1020.72,751.955,25.079,24.192,39.2,31.0,-0.013,-0.043,0.044,-0.016,0.028,0.035
0,1,715.725,960.4200000000001,99.999,99.999,39.8,0.0,0.033,0.0,0.063,0.0,0.027,0.0
0,1,856.925,883.275,99.999,99.999,36.9,0.0,-0.029,0.0,0.022,0.0,0.029,0.0
0,1,1048.655,924.215,25.14,24.225,33.6,35.2,-0.003,-0.054,0.043,0.086,0.032,0.031
0,1,964.99,886.52,25.118,24.21,40.3,30.4,0.013,0.018,0.011,0.089,0.027,0.036
0,1,720.46,866.58,25.096,24.264,39.2,32.0,0.016,-0.069,0.049,0.033,0.028,0.034
0,1,846.91,744.4449999999999,25.194,24.114,38.8,26.0,0.032,0.038,0.074,0.061,0.028,0.042
0,1,938.0899999999999,974.5149999999999,25.176,24.19,33.1,32.9,0.032,0.045,0.082,0.023,0.033,0.033
0,1,871.435,1001.3050000000001,25.223,24.16,38.0,28.7,0.019,0.014,0.019,0.079,0.029,0.038
0,1,1021.29,953.46,25.176,24.277,38.7,20.0,0.008,-0.022,0.014,0.014,0.028,0.054
0,1,1009.56,1012.73,25.136,24.321,39.3,24.6,0.061,-0.021,0.022,0.017,0.028,0.044
0,1,780.35,984.8199999999999,99.999,99.999,40.0,0.0,0.019,0.0,0.086,0.0,0.027,0.0
0,1,940.9,857.5550000000001,25.144,24.288,38.9,30.9,-0.039,0.029,0.103,0.102,0.028,0.035
0,1,898.515,771.08,25.192,24.214,37.9,27.1,0.03,-0.027,0.023,0.051,0.029,0.04
0,1,902.765,1062.095,25.219,24.175,38.6,26.3,0.022,-0.036,0.18,0.042,0.028,0.041
0,1,908.71,913.6,25.231,24.148,37.6,32.8,0.005,0.022,0.121,0.042,0.029,0.033
0,1,873.405,874.92,25.209,24.267,36.5,25.9,0.015,-0.025,0.107,0.098,0.03,0.042
0,1,833.505,1060.715,25.215,24.203,39.0,29.9,0.011,-0.008,0.059,0.08,0.028,0.036
